id,title,status,action,effectiveDate,linkedCanyons,textUrl,attachmentCount,sourceConfidence
114,Information,Actif,Interdit,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/114/legislation.html,0,needs_manual_search
117,Information,Actif,Réglemente,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/117/legislation.html,0,needs_manual_search
119,Convention - 01 mai 2006,Actif,Réglemente,01 mai 2006,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/119/legislation.html,0,needs_manual_search
126,Information,Actif,Indéfini,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/126/legislation.html,0,needs_manual_search
129,Arrêté - 26 avr 2002,Actif,Réglemente,26 avr 2002,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/129/legislation.html,0,needs_manual_search
132,Arrêté,Actif,Réglemente,,6,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/132/legislation.html,2,mirror_attachment_present
135,Information - 28 fév 2001,Actif,Interdit,28 fév 2001,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/135/legislation.html,0,needs_manual_search
136,Information,Actif,Interdit,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/136/legislation.html,0,needs_manual_search
139,Arrêté - 18 déc 1984,Actif,Réglemente,18 déc 1984,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/139/legislation.html,0,needs_manual_search
144,Convention,Actif,Réglemente,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/144/legislation.html,0,needs_manual_search
153,Arrêté préfectoral (Alpes-Maritimes) - 09 mai 1990,Actif,Réglemente,09 mai 1990,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/153/legislation.html,1,mirror_attachment_present
158,Arrêté municipal (Gréolières),Actif,Réglemente,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/158/legislation.html,0,needs_manual_search
159,Information - 29 avr 2008,Actif,Réglemente,29 avr 2008,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/159/legislation.html,0,needs_manual_search
170,Information,Actif,Réglemente,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/170/legislation.html,0,needs_manual_search
171,Information - 28 juil 2008,Actif,Réglemente,28 juil 2008,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/171/legislation.html,1,mirror_attachment_present
181,Arrêté municipal (Auzat) - 29 juin 2009,Actif,Réglemente,29 juin 2009,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/181/legislation.html,0,needs_manual_search
182,Arrêté (Parc National des Dolomites de Belluno) - 21 nov 2000,Actif,Réglemente,21 nov 2000,11,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/182/legislation.html,1,mirror_attachment_present
192,Arrêté municipal (Bonneville) - 03 août 2009,Actif,Réglemente,03 août 2009,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/192/legislation.html,1,mirror_attachment_present
193,Information,Actif,Interdit,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/193/legislation.html,0,needs_manual_search
194,Arrêté préfectoral (Alpes-Maritimes) - 15 fév 1996,Actif,Réglemente,15 fév 1996,2,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/194/legislation.html,2,mirror_attachment_present
195,Information,Actif,Réglemente,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/195/legislation.html,0,needs_manual_search
196,Arrêté municipal (Casteil) - 10 juil 2009,Actif,Réglemente,10 juil 2009,2,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/196/legislation.html,0,needs_manual_search
197,Arrêté municipal (Péreyres) - 09 août 2009,Actif,Interdit,09 août 2009,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/197/legislation.html,0,needs_manual_search
200,Arrêté municipal (Cevins) - 1998,Actif,Interdit,1998,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/200/legislation.html,0,needs_manual_search
201,Information,Actif,Réglemente,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/201/legislation.html,0,needs_manual_search
202,Information,Actif,Indéfini,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/202/legislation.html,0,needs_manual_search
203,Information,Actif,Réglemente,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/203/legislation.html,0,needs_manual_search
204,Arrêté,Actif,Réglemente,,3,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/204/legislation.html,0,needs_manual_search
208,Information,Actif,Réglemente,,1,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/208/legislation.html,0,needs_manual_search
